hRate,dTime,landscape,patch,gen,count,harvest
0.5,1,4,6,0,0,0
0.75,1,3,1,0,20,0
0.75,1,3,2,0,0,0
0.75,1,3,3,0,0,0
0.75,1,3,4,0,0,0
0.75,1,3,5,0,0,0
0.75,1,3,6,0,0,0
0.75,1,4,1,0,20,0
0.75,1,4,2,0,0,0
0.75,1,4,3,0,0,0
0.75,1,4,4,0,0,0
0.75,1,4,5,0,0,0
0.75,1,4,6,0,0,0
0,6,3,1,0,20,0
0,6,3,2,0,0,0
0,6,3,3,0,0,0
0,6,3,4,0,0,0
0,6,3,5,0,0,0
0,6,3,6,0,0,0
0,6,4,1,0,20,0
0,6,4,2,0,0,0
0,6,4,3,0,0,0
0,6,4,4,0,0,0
0,6,4,5,0,0,0
0,6,4,6,0,0,0
0.25,6,3,1,0,20,0
0.25,6,3,2,0,0,0
0.25,6,3,3,0,0,0
0.25,6,3,4,0,0,0
0.25,6,3,5,0,0,0
0.25,6,3,6,0,0,0
0.25,6,4,1,0,20,0
0.25,6,4,2,0,0,0
0.25,6,4,3,0,0,0
0.25,6,4,4,0,0,0
0.25,6,4,5,0,0,0
0.25,6,4,6,0,0,0
0.5,6,3,1,0,20,0
0.5,6,3,2,0,0,0
0.5,6,3,3,0,0,0
0.5,6,3,4,0,0,0
0.5,6,3,5,0,0,0
0.5,6,3,6,0,0,0
0.5,6,4,1,0,20,0
0.5,6,4,2,0,0,0
0.5,6,4,3,0,0,0
0.5,6,4,4,0,0,0
0.5,6,4,5,0,0,0
0.5,6,4,6,0,0,0
0.75,6,3,1,0,20,0
0.75,6,3,2,0,0,0
0.75,6,3,3,0,0,0
0.75,6,3,4,0,0,0
0.75,6,3,5,0,0,0
0.75,6,3,6,0,0,0
0.75,6,4,1,0,20,0
0.75,6,4,2,0,0,0
0.75,6,4,3,0,0,0
0.75,6,4,4,0,0,0
0.75,6,4,5,0,0,0
0.75,6,4,6,0,0,0
0,24,3,1,0,20,0
0,24,3,2,0,0,0
0,24,3,3,0,0,0
0,24,3,4,0,0,0
0,24,3,5,0,0,0
0,24,3,6,0,0,0
0,24,4,1,0,20,0
0,24,4,2,0,0,0
0,24,4,3,0,0,0
0,24,4,4,0,0,0
0,24,4,5,0,0,0
0,24,4,6,0,0,0
0.25,24,3,1,0,20,0
0.25,24,3,2,0,0,0
0.25,24,3,3,0,0,0
0.25,24,3,4,0,0,0
0.25,24,3,5,0,0,0
0.25,24,3,6,0,0,0
0.25,24,4,1,0,20,0
0.25,24,4,2,0,0,0
0.25,24,4,3,0,0,0
0.25,24,4,4,0,0,0
0.25,24,4,5,0,0,0
0.25,24,4,6,0,0,0
0.5,24,3,1,0,20,0
0.5,24,3,2,0,0,0
0.5,24,3,3,0,0,0
0.5,24,3,4,0,0,0
0.5,24,3,5,0,0,0
0.5,24,3,6,0,0,0
0.5,24,4,1,0,20,0
0.5,24,4,2,0,0,0
0.5,24,4,3,0,0,0
0.5,24,4,4,0,0,0
0.5,24,4,5,0,0,0
0.5,24,4,6,0,0,0
0.75,24,3,1,0,20,0
0.75,24,3,2,0,0,0
0.75,24,3,3,0,0,0
0.75,24,3,4,0,0,0
0.75,24,3,5,0,0,0
0.75,24,3,6,0,0,0
0.75,24,4,1,0,20,0
0.75,24,4,2,0,0,0
0.75,24,4,3,0,0,0
0.75,24,4,4,0,0,0
0.75,24,4,5,0,0,0
0.75,24,4,6,0,0,0
0,1,5,1,0,20,0
0,1,5,2,0,0,0
0,1,5,3,0,0,0
0,1,5,4,0,0,0
0,1,5,5,0,0,0
0,1,5,6,0,0,0
0,1,6,1,0,20,0
0,1,6,2,0,0,0
0,1,6,3,0,0,0
0,1,6,4,0,0,0
0,1,6,5,0,0,0
0,1,6,6,0,0,0
0.25,1,5,1,0,20,0
0.25,1,5,2,0,0,0
0.25,1,5,3,0,0,0
0.25,1,5,4,0,0,0
0.25,1,5,5,0,0,0
0.25,1,5,6,0,0,0
0.25,1,6,1,0,20,0
0.25,1,6,2,0,0,0
0.25,1,6,3,0,0,0
0.25,1,6,4,0,0,0
0.25,1,6,5,0,0,0
0.25,1,6,6,0,0,0
0.5,1,5,1,0,20,0
0.5,1,5,2,0,0,0
0.5,1,5,3,0,0,0
0.5,1,5,4,0,0,0
0.5,1,5,5,0,0,0
0.5,1,5,6,0,0,0
0.5,1,6,1,0,20,0
0.5,1,6,2,0,0,0
0.5,1,6,3,0,0,0
0.5,1,6,4,0,0,0
0.5,1,6,5,0,0,0
0.5,1,6,6,0,0,0
0.75,1,5,1,0,20,0
0.75,1,5,2,0,0,0
0.75,1,5,3,0,0,0
0.75,1,5,4,0,0,0
0.75,1,5,5,0,0,0
0.75,1,5,6,0,0,0
0.75,1,6,1,0,20,0
0.75,1,6,2,0,0,0
0.75,1,6,3,0,0,0
0.75,1,6,4,0,0,0
0.75,1,6,5,0,0,0
0.75,1,6,6,0,0,0
0,6,5,1,0,20,0
0,6,5,2,0,0,0
0,6,5,3,0,0,0
0,6,5,4,0,0,0
0,6,5,5,0,0,0
0,6,5,6,0,0,0
0,6,6,1,0,20,0
0,6,6,2,0,0,0
0,6,6,3,0,0,0
0,6,6,4,0,0,0
0,6,6,5,0,0,0
0,6,6,6,0,0,0
0.25,6,5,1,0,20,0
0.25,6,5,2,0,0,0
0.25,6,5,3,0,0,0
0.25,6,5,4,0,0,0
0.25,6,5,5,0,0,0
0.25,6,5,6,0,0,0
0.25,6,6,1,0,20,0
0.25,6,6,2,0,0,0
0.25,6,6,3,0,0,0
0.25,6,6,4,0,0,0
0.25,6,6,5,0,0,0
0.25,6,6,6,0,0,0
0.5,6,5,1,0,20,0
0.5,6,5,2,0,0,0
0.5,6,5,3,0,0,0
0.5,6,5,4,0,0,0
0.5,6,5,5,0,0,0
0.5,6,5,6,0,0,0
0.5,6,6,1,0,20,0
0.5,6,6,2,0,0,0
0.5,6,6,3,0,0,0
0.5,6,6,4,0,0,0
0.5,6,6,5,0,0,0
0.5,6,6,6,0,0,0
0.75,6,5,1,0,20,0
0.75,6,5,2,0,0,0
0.75,6,5,3,0,0,0
0.75,6,5,4,0,0,0
0.75,6,5,5,0,0,0
0.75,6,5,6,0,0,0
0.75,6,6,1,0,20,0
0.75,6,6,2,0,0,0
0.75,6,6,3,0,0,0
0.75,6,6,4,0,0,0
0.75,6,6,5,0,0,0
0.75,6,6,6,0,0,0
0,24,5,1,0,20,0
0,24,5,2,0,0,0
0,24,5,3,0,0,0
0,24,5,4,0,0,0
0,24,5,5,0,0,0
0,24,5,6,0,0,0
0,24,6,1,0,20,0
0,24,6,2,0,0,0
0,24,6,3,0,0,0
0,24,6,4,0,0,0
0,24,6,5,0,0,0
0,24,6,6,0,0,0
0.25,24,5,1,0,20,0
0.25,24,5,2,0,0,0
0.25,24,5,3,0,0,0
0.25,24,5,4,0,0,0
0.25,24,5,5,0,0,0
0.25,24,5,6,0,0,0
0.25,24,6,1,0,20,0
0.25,24,6,2,0,0,0
0.25,24,6,3,0,0,0
0.25,24,6,4,0,0,0
0.25,24,6,5,0,0,0
0.25,24,6,6,0,0,0
0.5,24,5,1,0,20,0
0.5,24,5,2,0,0,0
