time_point,date_time,temp_F,RH
162,6/2/18 2:48,88.41,52.756
163,6/2/18 3:03,88.41,52.66
164,6/2/18 3:18,88.41,53.271
165,6/2/18 3:33,88.41,53.335
166,6/2/18 3:48,88.41,53.335
167,6/2/18 4:03,88.41,53.399
168,6/2/18 4:18,88.41,53.528
169,6/2/18 4:33,88.41,53.752
170,6/2/18 4:48,88.41,53.784
171,6/2/18 5:03,88.41,53.881
172,6/2/18 5:18,88.363,54.037
173,6/2/18 5:33,88.363,54.005
174,6/2/18 5:48,88.363,54.229
175,6/2/18 6:03,88.363,53.781
176,6/2/18 6:18,88.363,53.781
177,6/2/18 6:33,88.363,54.037
178,6/2/18 6:48,88.363,53.845
179,6/2/18 7:03,88.363,54.069
180,6/2/18 7:18,88.363,53.973
181,6/2/18 7:33,88.363,54.005
182,6/2/18 7:48,88.363,53.973
183,6/2/18 8:03,88.41,53.624
184,6/2/18 8:18,88.363,53.845
185,6/2/18 8:33,88.41,53.624
186,6/2/18 8:48,88.41,54.009
187,6/2/18 9:03,88.41,53.816
188,6/2/18 9:18,88.41,53.592
189,6/2/18 9:33,88.455,53.627
190,6/2/18 9:48,88.455,54.012
191,6/2/18 10:03,88.455,53.724
192,6/2/18 10:18,88.455,54.205
193,6/2/18 10:33,88.455,54.461
194,6/2/18 10:48,88.502,54.208
195,6/2/18 11:03,88.502,54.208
196,6/2/18 11:18,88.502,54.432
197,6/2/18 11:33,88.502,54.176
198,6/2/18 11:48,88.502,54.112
199,6/2/18 12:03,88.502,54.336
200,6/2/18 12:18,88.547,54.051
201,6/2/18 12:33,88.502,54.048
202,6/2/18 12:48,88.502,54.24
203,6/2/18 13:03,88.502,54.016
204,6/2/18 13:18,88.502,53.791
205,6/2/18 13:33,88.547,53.891
206,6/2/18 13:48,88.547,53.923
207,6/2/18 14:03,88.547,53.827
208,6/2/18 14:18,88.547,54.051
209,6/2/18 14:33,88.547,54.244
210,6/2/18 14:48,88.547,53.923
211,6/2/18 15:03,88.547,53.795
212,6/2/18 15:18,88.547,54.34
213,6/2/18 15:33,88.547,54.308
214,6/2/18 15:48,88.547,54.308
215,6/2/18 16:03,88.547,54.212
216,6/2/18 16:18,88.502,54.304
217,6/2/18 16:33,88.502,54.368
218,6/2/18 16:48,88.502,54.272
219,6/2/18 17:03,88.502,54.464
220,6/2/18 17:18,88.502,54.944
221,6/2/18 17:33,88.502,55.583
222,6/2/18 17:48,88.502,54.752
223,6/2/18 18:03,88.502,54.912
224,6/2/18 18:18,88.502,54.816
225,6/2/18 18:33,88.455,54.813
226,6/2/18 18:48,88.455,54.717
227,6/2/18 19:03,88.455,54.461
228,6/2/18 19:18,88.455,54.333
229,6/2/18 19:33,88.455,54.844
230,6/2/18 19:48,88.455,54.876
231,6/2/18 20:03,88.455,55.068
232,6/2/18 20:18,88.455,54.621
233,6/2/18 20:33,88.455,54.749
234,6/2/18 20:48,88.455,54.876
235,6/2/18 21:03,88.455,54.685
236,6/2/18 21:18,88.455,54.621
237,6/2/18 21:33,88.455,54.908
238,6/2/18 21:48,88.455,54.94
239,6/2/18 22:03,88.455,55.068
240,6/2/18 22:18,88.455,55.068
241,6/2/18 22:33,88.455,55.004
242,6/2/18 22:48,88.455,55.164
243,6/2/18 23:03,88.41,55.288
244,6/2/18 23:18,88.41,55.543
245,6/2/18 23:33,88.41,55.224
246,6/2/18 23:48,88.455,55.26
247,6/3/18 0:03,88.41,55.448
248,6/3/18 0:18,88.41,55.256
249,6/3/18 0:33,88.41,55.096
250,6/3/18 0:48,88.41,54.265
251,6/3/18 1:03,88.41,54.361
252,6/3/18 1:18,88.41,54.393
253,6/3/18 1:33,88.41,54.713
254,6/3/18 1:48,88.455,54.461
255,6/3/18 2:03,88.455,54.94
256,6/3/18 2:18,88.41,55.033
257,6/3/18 2:33,88.455,55.26
